,time,marital,religious_attendance,age,gender,race,education,evangelical,political_views,affiliation,state,latino,intend_to_vote,registered_to_vote,preferred_candidate,vote_today_candidate,hc_pref,dt_pref,gj_pref,js_pref,id
183,2016/10/26 7:53:15 PM EST,Never been married,A few times a year,32,Male,Asian or Asian-American,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Moderate,Independent,Mississippi,No,Yes,I'm absolutely certain that I'm registered to vote,Undecided,Undecided,Neutral,Dissatisfied,Neutral,Neutral,183
184,2016/10/26 7:53:38 PM EST,Married,Once or twice a month,40,Female,Latin American/Hispanic,Some college attendence,No,Moderate,Democrat,Arizona,Yes,Yes,I'm absolutely certain that I'm registered to vote,Jeb Bush,Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Neutral,Very dissatisfied,184
185,2016/10/26 7:53:47 PM EST,Living with a partner,Never,37,Female,White,Some college attendence,No,Liberal,Democrat,Florida,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,185
186,2016/10/26 7:53:50 PM EST,Married,Never,63,Female,White,Some college attendence,No,Very liberal,Democrat,New Jersey,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,186
187,2016/10/26 7:54:41 PM EST,Married,Never,33,Female,White,Some college attendence,No,Liberal,Democrat,Utah,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,187
188,2016/10/26 7:54:59 PM EST,Married,Seldom,45,Female,Latin American/Hispanic,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Yes,Conservative,Republican,South Carolina,Yes,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,I have no preference about this candidate,I have no preference about this candidate,188
189,2016/10/26 7:55:22 PM EST,Never been married,A few times a year,23,Male,Latin American/Hispanic,Some college attendence,No,Moderate,Independent,Florida,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Dissatisfied,Neutral,Neutral,189
190,2016/10/26 7:55:22 PM EST,Never been married,Seldom,21,Male,White,Some college attendence,No,Liberal,Democrat,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,190
191,2016/10/26 7:55:24 PM EST,Married,Never,26,Female,White,Some college attendence,No,Moderate,Democrat,New York,No,No,I'm not registered to vote,Gary Johnson (Libertarian),Bernie Sanders,Dissatisfied,Dissatisfied,Neutral,Neutral,191
192,2016/10/26 7:55:34 PM EST,Never been married,Never,68,Male,White,Some college attendence,No,Moderate,Independent,California,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Evan Mcmillan,Satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,192
193,2016/10/26 7:55:47 PM EST,Married,More than once a week,47,Female,White,High school graduate or GED,Yes,Very conservative,Republican,Arkansas,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,I have no preference about this candidate,Very dissatisfied,193
194,2016/10/26 7:56:21 PM EST,Never been married,Once or twice a month,19,Male,White,Some college attendence,No,Conservative,Republican,Texas,No,No,I'm not registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,I have no preference about this candidate,I have no preference about this candidate,194
195,2016/10/26 7:56:25 PM EST,Never been married,Seldom,35,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Washington,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Dissatisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,195
196,2016/10/26 7:56:51 PM EST,Never been married,Never,43,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Independent,California,No,Not very likely,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Dissatisfied,Very dissatisfied,Dissatisfied,Satisfied,196
197,2016/10/26 7:56:52 PM EST,Never been married,A few times a year,31,Male,White,Some college attendence,No,Moderate,Independent,North Carolina,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Neutral,Neutral,Neutral,197
198,2016/10/26 7:57:03 PM EST,Never been married,Seldom,27,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Illinois,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,198
199,2016/10/26 7:57:04 PM EST,Living with a partner,Never,26,Female,White,Four year college degree/bachelor’s degree,No,I can't place myself on this spectrum,Independent,Ohio,No,No,I'm not registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Very dissatisfied,Satisfied,Very satisfied,199
200,2016/10/26 7:57:13 PM EST,Married,Seldom,60,Female,White,High school graduate or GED,Yes,Very conservative,Independent,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,200
201,2016/10/26 7:57:35 PM EST,Living with a partner,Seldom,24,Female,White,"Some postgraduate or professional schooling, no postgraduate degree",No,Liberal,Democrat,Pennsylvania,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,201
202,2016/10/26 7:57:37 PM EST,Never been married,Never,23,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Democrat,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,202
203,2016/10/26 7:57:41 PM EST,Living with a partner,A few times a year,24,Female,White,Some college attendence,Yes,Moderate,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Dissatisfied,Satisfied,Satisfied,I have no preference about this candidate,203
204,2016/10/26 7:58:03 PM EST,Married,Never,36,Male,White,Some college attendence,No,Liberal,Independent,Louisiana,No,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Satisfied,Very satisfied,Neutral,204
205,2016/10/26 7:58:04 PM EST,Never been married,Once or twice a month,30,Female,Latin American/Hispanic,Four year college degree/bachelor’s degree,Yes,Conservative,Republican,California,Yes,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Dissatisfied,205
206,2016/10/26 7:58:04 PM EST,Married,More than once a week,30,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Yes,I can't place myself on this spectrum,Independent,Tennessee,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Gary Johnson (Libertarian),Neutral,Very dissatisfied,Neutral,Neutral,206
207,2016/10/26 7:58:15 PM EST,Married,Never,32,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Satisfied,Satisfied,207
208,2016/10/26 7:58:25 PM EST,Divorced,A few times a year,46,Male,White,Some college attendence,Yes,Liberal,Independent,Oklahoma,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Very satisfied,Dissatisfied,208
209,2016/10/26 7:58:46 PM EST,Married,Seldom,32,Male,White,Some college attendence,No,Liberal,Independent,Idaho,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Dissatisfied,Satisfied,Very satisfied,209
210,2016/10/26 7:58:53 PM EST,Never been married,Seldom,24,Female,Black or African-American,Some college attendence,No,Liberal,Democrat,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Dissatisfied,210
211,2016/10/26 7:58:55 PM EST,Married,Seldom,41,Male,White,Some college attendence,No,Liberal,Democrat,Illinois,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,211
212,2016/10/26 7:59:12 PM EST,Never been married,Never,29,Female,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Illinois,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Neutral,Neutral,212
213,2016/10/26 7:59:30 PM EST,Living with a partner,Never,34,Female,Latin American/Hispanic,Some college attendence,No,Moderate,Something else,Florida,Yes,Not very likely,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Satisfied,Satisfied,213
214,2016/10/26 7:59:35 PM EST,Never been married,Never,26,Male,White,Some college attendence,No,Very liberal,Something else,Massachusetts,No,Yes,I'm absolutely certain that I'm registered to vote,Gloria La Riva,Hillary Clinton (Democrat),Dissatisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,214
215,2016/10/26 7:59:40 PM EST,Living with a partner,Seldom,24,Female,White,Some college attendence,No,Moderate,Democrat,Minnesota,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Dissatisfied,215
216,2016/10/26 7:59:56 PM EST,Never been married,Never,29,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Oregon,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Neutral,Neutral,216
217,2016/10/26 8:00:15 PM EST,Married,Never,28,Male,Latin American/Hispanic,Some college attendence,No,Liberal,Democrat,Arkansas,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,217
218,2016/10/26 8:00:18 PM EST,Never been married,Once a week,28,Female,Latin American/Hispanic,Some college attendence,No,Liberal,Democrat,New York,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,218
219,2016/10/26 8:00:23 PM EST,Never been married,Never,28,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Independent,California,No,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very satisfied,219
220,2016/10/26 8:00:48 PM EST,Married,Never,29,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,Minnesota,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Very dissatisfied,220
221,2016/10/26 8:00:49 PM EST,Never been married,Never,36,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,Missouri,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Neutral,221
222,2016/10/26 8:00:50 PM EST,Never been married,Once or twice a month,36,Female,White,Four year college degree/bachelor’s degree,Yes,Conservative,Republican,Tennessee,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,222
223,2016/10/26 8:00:53 PM EST,Married,Never,25,Male,White,High school graduate or GED,No,Liberal,Democrat,Illinois,No,Probably,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Neutral,Neutral,Dissatisfied,Neutral,223
224,2016/10/26 8:01:06 PM EST,Married,Never,49,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Something else,Wisconsin,No,Probably,I'm absolutely certain that I'm registered to vote,anyone else that is halfway descent,Hillary Clinton (Democrat),Dissatisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,224
225,2016/10/26 8:01:11 PM EST,Married,A few times a year,43,Female,White,Some college attendence,Yes,Very conservative,Republican,Indiana,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Dissatisfied,Satisfied,Neutral,Dissatisfied,225
226,2016/10/26 8:01:21 PM EST,Married,Never,61,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,226
227,2016/10/26 8:01:24 PM EST,Never been married,Once or twice a month,40,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Independent,Pennsylvania,No,Yes,I'm absolutely certain that I'm registered to vote,Bernie Sanders,Bernie Sanders,Very dissatisfied,Dissatisfied,Satisfied,Satisfied,227
228,2016/10/26 8:01:26 PM EST,Never been married,Never,27,non binary,White,Some college attendence,No,Very liberal,Something else,Maryland,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Satisfied,228
229,2016/10/26 8:01:47 PM EST,Never been married,Seldom,27,Female,Black or African-American,Four year college degree/bachelor’s degree,No,Moderate,Independent,California,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Rihanna,I have no preference about this candidate,I have no preference about this candidate,I have no preference about this candidate,I have no preference about this candidate,229
230,2016/10/26 8:01:58 PM EST,Living with a partner,Never,27,Male,Asian or Asian-American,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,Oregon,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Neutral,Neutral,230
231,2016/10/26 8:02:02 PM EST,Married,Once a week,38,Female,White,Four year college degree/bachelor’s degree,Yes,Moderate,Republican,Missouri,No,Probably,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,I have no preference about this candidate,I have no preference about this candidate,231
232,2016/10/26 8:02:22 PM EST,Never been married,Seldom,25,Male,Latin American/Hispanic,Did not complete high school,No,Moderate,Independent,New York,Yes,Probably,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Neutral,Neutral,Satisfied,Very dissatisfied,232
233,2016/10/26 8:02:27 PM EST,Never been married,Seldom,25,Male,Latin American/Hispanic,Some college attendence,Yes,Moderate,Independent,California,Yes,Yes,"I'm probably registered to vote, but there's a chance my registration has lasped",Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Dissatisfied,Satisfied,Very satisfied,233
234,2016/10/26 8:02:41 PM EST,Married,Seldom,60,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,234
235,2016/10/26 8:03:14 PM EST,Never been married,Never,29,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Conservative,Independent,Virginia,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Neutral,Dissatisfied,I have no preference about this candidate,Satisfied,235
236,2016/10/26 8:03:26 PM EST,Never been married,A few times a year,23,Male,Asian or Asian-American,Some college attendence,No,Moderate,Independent,Virginia,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Donald Trump (Republican),Very dissatisfied,Satisfied,Satisfied,Very satisfied,236
237,2016/10/26 8:03:44 PM EST,Never been married,Never,23,Male,Black or African-American,Some college attendence,No,I can't place myself on this spectrum,Independent,Illinois,No,No,I'm not registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,237
238,2016/10/26 8:03:54 PM EST,Married,Never,26,Male,White,High school graduate or GED,No,Moderate,Independent,Michigan,No,No,I'm not registered to vote,Ron Paul,none,Neutral,Dissatisfied,Neutral,Neutral,238
239,2016/10/26 8:04:18 PM EST,Married,Never,32,Female,White,Some college attendence,No,Liberal,Democrat,Wyoming,No,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,239
240,2016/10/26 8:04:27 PM EST,Never been married,Never,19,Male,White,Some college attendence,No,Very liberal,Independent,Massachusetts,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,240
241,2016/10/26 8:04:31 PM EST,Living with a partner,Seldom,30,Male,white and latino,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Michigan,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,241
242,2016/10/26 8:04:32 PM EST,Separated,Never,26,Male,White,High school graduate or GED,No,Moderate,Democrat,Colorado,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,242
243,2016/10/26 8:04:34 PM EST,Living with a partner,Never,26,non binary,White,Four year college degree/bachelor’s degree,No,Very liberal,Independent,Colorado,No,Yes,I'm absolutely certain that I'm registered to vote,Bernie Sanders,Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Satisfied,243
244,2016/10/26 8:04:44 PM EST,Never been married,Never,21,Male,Asian or Asian-American,Some college attendence,No,Liberal,Independent,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Very dissatisfied,Very dissatisfied,Satisfied,244
245,2016/10/26 8:05:00 PM EST,Never been married,Seldom,34,Male,Mixed (black and white),Some college attendence,No,Moderate,Independent,Kentucky,No,Not very likely,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Very dissatisfied,Neutral,245
246,2016/10/26 8:05:06 PM EST,Never been married,Never,26,Male,White,High school graduate or GED,No,Conservative,Independent,Indiana,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Dissatisfied,Neutral,246
247,2016/10/26 8:05:13 PM EST,Divorced,Seldom,45,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Independent,Massachusetts,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Dissatisfied,Dissatisfied,Satisfied,247
248,2016/10/26 8:05:14 PM EST,Never been married,Never,35,Female,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Moderate,Something else,California,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Very satisfied,Neutral,248
249,2016/10/26 8:05:22 PM EST,Living with a partner,Seldom,35,Male,White,Some college attendence,No,Very liberal,Something else,Missouri,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Very satisfied,249
250,2016/10/26 8:05:23 PM EST,Never been married,Seldom,23,Male,Asian or Asian-American,Some college attendence,No,Moderate,Democrat,California,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Dissatisfied,250
251,2016/10/26 8:05:30 PM EST,Married,Never,48,Female,White,Some college attendence,No,Conservative,Republican,Texas,No,No,I'm not registered to vote,Gary Johnson (Libertarian),Donald Trump (Republican),Very dissatisfied,Satisfied,Satisfied,Dissatisfied,251
252,2016/10/26 8:06:17 PM EST,Living with a partner,Seldom,23,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Ohio,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Satisfied,Satisfied,252
253,2016/10/26 8:06:23 PM EST,Never been married,Never,41,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,New Mexico,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,253
254,2016/10/26 8:06:47 PM EST,Married,Never,31,Male,White,Four year college degree/bachelor’s degree,No,Very liberal,Independent,Michigan,No,Probably,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Dissatisfied,Dissatisfied,Very satisfied,254
255,2016/10/26 8:06:55 PM EST,Divorced,A few times a year,38,Male,White,Some college attendence,Yes,Conservative,Republican,Tennessee,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Neutral,Neutral,255
256,2016/10/26 8:07:08 PM EST,Married,Never,42,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,Washington,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Very dissatisfied,Dissatisfied,256
257,2016/10/26 8:07:18 PM EST,Never been married,Never,28,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Independent,Wisconsin,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Donald Trump (Republican),Very dissatisfied,Satisfied,Very satisfied,Satisfied,257
258,2016/10/26 8:07:39 PM EST,Never been married,Never,22,Female,White,Some college attendence,No,Liberal,Democrat,Illinois,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Satisfied,258
259,2016/10/26 8:07:40 PM EST,Married,Never,33,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,Maryland,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,259
260,2016/10/26 8:08:12 PM EST,Living with a partner,Never,21,Female,White,High school graduate or GED,No,Liberal,Independent,Wisconsin,No,Not very likely,I'm not registered to vote,Jill Stein (Green),Jill Stein (Green),Dissatisfied,Dissatisfied,Satisfied,Very satisfied,260
261,2016/10/26 8:08:38 PM EST,Living with a partner,Once a week,23,Female,Latin American/Hispanic,Some college attendence,Yes,Liberal,Independent,Texas,Yes,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Jill Stein (Green),Jill Stein (Green),Neutral,Neutral,Neutral,Satisfied,261
262,2016/10/26 8:09:06 PM EST,Never been married,A few times a year,25,Male,Latin American/Hispanic,Some college attendence,No,Moderate,Democrat,California,Yes,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Neutral,Neutral,262
263,2016/10/26 8:09:11 PM EST,Never been married,Never,21,Female,White,Some college attendence,No,Moderate,Republican,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Neutral,Neutral,263
264,2016/10/26 8:09:13 PM EST,Never been married,Once or twice a month,25,Male,White,"Some postgraduate or professional schooling, no postgraduate degree",No,Conservative,Republican,South Carolina,No,Probably,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Dissatisfied,Neutral,Dissatisfied,Very dissatisfied,264
265,2016/10/26 8:09:25 PM EST,Never been married,A few times a year,24,Male,Black or African-American,Some college attendence,No,Very liberal,Democrat,Kentucky,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Neutral,265
266,2016/10/26 8:09:37 PM EST,Never been married,A few times a year,21,Female,White,Some college attendence,No,Conservative,Independent,New York,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,266
267,2016/10/26 8:09:43 PM EST,Married,Once or twice a month,37,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Independent,California,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,267
268,2016/10/26 8:09:44 PM EST,Living with a partner,Never,21,Male,White,High school graduate or GED,No,Moderate,Independent,Tennessee,No,No,I'm not registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Dissatisfied,Very satisfied,Very dissatisfied,268
269,2016/10/26 8:09:51 PM EST,Married,Never,55,Female,White,High school graduate or GED,No,Moderate,Independent,Missouri,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Very dissatisfied,Very dissatisfied,269
270,2016/10/26 8:09:58 PM EST,Never been married,Seldom,36,Female,White,Some college attendence,No,Liberal,Something else,Washington,No,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Jill Stein (Green),Jill Stein (Green),Neutral,Very dissatisfied,I have no preference about this candidate,Very satisfied,270
271,2016/10/26 8:10:30 PM EST,Living with a partner,A few times a year,25,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Independent,California,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Very satisfied,271
272,2016/10/26 8:10:37 PM EST,Living with a partner,Never,23,Male,Black or African-American,Some college attendence,No,Liberal,Democrat,Indiana,No,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,272
273,2016/10/26 8:11:05 PM EST,Never been married,A few times a year,30,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Georgia,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,273
274,2016/10/26 8:11:20 PM EST,Never been married,Never,22,Male,Asian or Asian-American,Some college attendence,No,Moderate,Independent,Illinois,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Dissatisfied,Satisfied,Neutral,Neutral,274
